judge_model_name,criterion,locale,n_prompts,mean,std,se,ci95_low,ci95_high,ci90_low,ci90_high
CommandR7B,naturalness,cs_CZ,46,0.36086956521739133,0.1206575293913277,0.01778998215827435,0.32717391304347826,0.39565217391304347,0.3324275362318841,0.39003623188405806
AyaExpanse-8B,naturalness,cs_CZ,46,0.34402173913043477,0.10695942237795945,0.01577030646460422,0.31431159420289856,0.3746376811594203,0.3192028985507246,0.37010869565217386
Llama-3.1-8B,naturalness,cs_CZ,46,0.3373188405797101,0.10769382655992728,0.015878588453801894,0.30778985507246376,0.36975090579710146,0.31213768115942025,0.36394927536231875
Mistral-7B,naturalness,cs_CZ,46,0.33641304347826084,0.11260603638804284,0.016602854279902563,0.3050724637681159,0.3695652173913043,0.309963768115942,0.3641304347826086
Qwen3-235B,naturalness,de_DE,46,0.5057971014492754,0.19011748775929457,0.0280312942944851,0.4527173913043478,0.5606884057971014,0.4606884057971015,0.5518115942028986
GPT-4.1,naturalness,de_DE,46,0.49764492753623185,0.2208964832382618,0.03256940959638677,0.4378577898550724,0.5643115942028986,0.44637681159420284,0.5530797101449274
DeepSeek-V3,naturalness,de_DE,46,0.48695652173913045,0.24255998477857182,0.035763518640654704,0.41992753623188406,0.5577989130434782,0.42971014492753634,0.545108695652174
Mistral-Medium,naturalness,de_DE,46,0.4831521739130436,0.1791741094960084,0.026417781196403207,0.43478260869565216,0.5369610507246376,0.44202898550724634,0.5271739130434784
Llama-4-Maverick,naturalness,de_DE,46,0.47862318840579715,0.19980431919472466,0.029459539670267664,0.4235507246376812,0.5385914855072462,0.4318840579710145,0.5286322463768116
CommandA,naturalness,de_DE,46,0.4769927536231885,0.16713992791035506,0.02464343792269124,0.4320606884057971,0.5260869565217391,0.4385869565217391,0.5184782608695652
Claude-4,naturalness,de_DE,46,0.47210144927536246,0.14411519517155158,0.02124862628773835,0.4324275362318841,0.5141304347826088,0.43913043478260866,0.5076086956521739
AyaExpanse-32B,naturalness,de_DE,46,0.447463768115942,0.1561681347535385,0.02302573527712329,0.40416666666666673,0.4934782608695652,0.41086956521739126,0.4858695652173913
AyaExpanse-8B,naturalness,de_DE,46,0.44384057971014496,0.21286141946567116,0.03138470407592665,0.3858695652173914,0.5076086956521739,0.3945652173913044,0.4971014492753623
CommandR7B,naturalness,de_DE,46,0.442572463768116,0.2009101840119631,0.029622590542164175,0.3876766304347825,0.5021784420289855,0.3952807971014493,0.49221014492753623
